factor_id,factor,tumor_type,evidence,india
ph_extracellular,Extracellular pH,Breast,none,no
ph_extracellular,Extracellular pH,Oral/HNSCC,none,no
ph_extracellular,Extracellular pH,Gallbladder,none,no
ph_extracellular,Extracellular pH,Cervical,none,no
ph_extracellular,Extracellular pH,Pancreatic,none,no
hypoxia_hif1a,Hypoxia / HIF-1a,Breast,none,no
hypoxia_hif1a,Hypoxia / HIF-1a,Oral/HNSCC,direct,yes
hypoxia_hif1a,Hypoxia / HIF-1a,Gallbladder,inferred,yes
hypoxia_hif1a,Hypoxia / HIF-1a,Cervical,none,no
hypoxia_hif1a,Hypoxia / HIF-1a,Pancreatic,none,no
lactate,Lactate,Breast,none,no
lactate,Lactate,Oral/HNSCC,inferred,yes
lactate,Lactate,Gallbladder,none,no
lactate,Lactate,Cervical,none,no
lactate,Lactate,Pancreatic,none,no
tgf_beta,TGF-beta,Breast,none,no
tgf_beta,TGF-beta,Oral/HNSCC,none,no
tgf_beta,TGF-beta,Gallbladder,none,no
tgf_beta,TGF-beta,Cervical,none,no
tgf_beta,TGF-beta,Pancreatic,none,no
estrogen,Oestrogen / receptor,Breast,direct,yes
estrogen,Oestrogen / receptor,Oral/HNSCC,none,no
estrogen,Oestrogen / receptor,Gallbladder,none,no
estrogen,Oestrogen / receptor,Cervical,none,no
estrogen,Oestrogen / receptor,Pancreatic,none,no
ifp,Interstitial fluid pressure,Breast,none,no
ifp,Interstitial fluid pressure,Oral/HNSCC,none,no
ifp,Interstitial fluid pressure,Gallbladder,none,no
ifp,Interstitial fluid pressure,Cervical,none,no
ifp,Interstitial fluid pressure,Pancreatic,inferred,no
collagen_1,Collagen I,Breast,direct,no
collagen_1,Collagen I,Oral/HNSCC,none,no
collagen_1,Collagen I,Gallbladder,inferred,yes
collagen_1,Collagen I,Cervical,none,no
collagen_1,Collagen I,Pancreatic,none,no
stiffness,Tissue stiffness,Breast,direct,no
stiffness,Tissue stiffness,Oral/HNSCC,none,no
stiffness,Tissue stiffness,Gallbladder,none,no
stiffness,Tissue stiffness,Cervical,none,no
stiffness,Tissue stiffness,Pancreatic,direct,no
